unique_id,timestamp,tag,y_pred,y_proba,query,model_version,runtime
eabef9d9-6559-45cf-8707-bf1882e3725c,1621013711.616111,all,[184414.794],None,2018-01-05,0.1,000:00:18
11e74229-3622-4572-8a48-ac228e9139f4,1621013819.310451,all,[184414.794],None,2018-01-05,0.1,000:00:00
f5fe118a-fa6f-4e43-b039-c600837aa6bf,1621014029.266249,all,[184414.794],None,2018-01-05,0.1,000:00:18
241fd254-9198-4353-a111-4818a59af9e8,1621014253.2388852,all,[184414.794],None,2018-01-05,0.1,000:00:18
c4f37bdc-61b0-4828-b681-0ed0399b9739,1621014489.538581,all,[263755.05272],None,2019-08-02,0.1,000:00:00
a2c82886-b5c9-41a8-90e8-0cdba3856ed5,1621014489.544131,all,[207808.76776],None,2019-08-03,0.1,000:00:00
cb2dbb79-81f2-4282-b8fa-e43a57523876,1621014489.548913,all,[176420.32352],None,2019-08-04,0.1,000:00:00
1bc41f3f-4386-40f7-90c3-26acc7e6e7a4,1621014489.5536928,all,[175695.49448],None,2019-08-05,0.1,000:00:00
ad6a7843-ecc3-42e5-8636-eac987eff55d,1621014489.559402,all,[167661.31764],None,2019-08-06,0.1,000:00:00
ab00e3aa-8907-48f8-b4da-629fbbf6cae8,1621014489.564212,all,[165536.14384],None,2019-08-07,0.1,000:00:00
90717e0a-5545-4ba7-81b0-fe1e4aa50709,1621014489.568817,all,[165449.3968],None,2019-08-08,0.1,000:00:00
58adeb13-97a6-4cd4-927e-c7d0222cf351,1621014489.574198,all,[156209.07352],None,2019-08-09,0.1,000:00:00
ce0dd2dc-8fc4-40ee-84e0-5ca22716878e,1621014489.579436,all,[158602.65512],None,2019-08-10,0.1,000:00:00
927bf491-4413-4420-9e52-b4cf45a317af,1621014489.5841448,all,[158200.32588],None,2019-08-11,0.1,000:00:00
f964ed97-353d-4526-8b33-9872a1110dac,1621014489.589354,all,[158175.9566],None,2019-08-12,0.1,000:00:00
434bb8b9-319e-428c-b376-67a7b39f898f,1621014489.594526,all,[157993.51492],None,2019-08-13,0.1,000:00:00
5e67ebdd-97f6-4e52-9e16-9daf7d552753,1621014489.5989718,all,[155361.26836],None,2019-08-14,0.1,000:00:00
0151ff47-275f-46e5-a035-23e1c743ba88,1621014489.6032052,all,[151360.25208],None,2019-08-15,0.1,000:00:00
695feb17-9121-4a42-ae4b-e1b6402ec6b2,1621014489.6077209,all,[153224.83148],None,2019-08-16,0.1,000:00:00
fcea2c98-78fb-4819-ac42-dee1a91530f8,1621014489.61257,all,[152425.5878],None,2019-08-17,0.1,000:00:00
d963f965-f658-4945-9f18-e2f17f7528b5,1621014489.617051,all,[152023.25856],None,2019-08-18,0.1,000:00:00
05fd495c-e332-4c14-8fd0-659cfe235337,1621014489.6212008,all,[150810.78096],None,2019-08-19,0.1,000:00:00
e470dd90-51b2-4587-a848-46a80e82f6cd,1621014489.62564,all,[153077.46948],None,2019-08-20,0.1,000:00:00
885117bc-689d-41c8-b815-840ef428966a,1621014489.6302662,all,[153479.79872],None,2019-08-21,0.1,000:00:00
922b3234-bf0b-4818-8376-84b324ae013c,1621014489.634563,all,[149044.24496],None,2019-08-22,0.1,000:00:00
dfb70195-5298-4179-b507-54932818e703,1621014489.638649,all,[152134.19468],None,2019-08-23,0.1,000:00:00
430580b9-0de4-4a87-9001-071a89882307,1621014489.642941,all,[149226.75664],None,2019-08-24,0.1,000:00:00
39d8b0fb-f5e3-4d3e-a854-4bed95e330e7,1621014489.646946,all,[149226.75664],None,2019-08-25,0.1,000:00:00
a37ffdf8-4424-44b9-9498-90d7e00522dd,1621014489.650869,all,[147202.15024],None,2019-08-26,0.1,000:00:00
3ed2dfbd-76e7-4154-8833-105149f35d51,1621014489.654818,all,[150615.19912],None,2019-08-27,0.1,000:00:00
833971e6-6e18-4e3b-b05f-f0cd51aa8cf1,1621014489.658995,all,[141644.87132],None,2019-08-28,0.1,000:00:00
ca44871b-dbe6-480b-8072-6026d9c9f18a,1621014489.6630201,all,[145387.9698],None,2019-08-29,0.1,000:00:00
70e78ec6-2917-4b9f-82c0-d3b37541b161,1621014489.6670232,all,[146483.8626],None,2019-08-30,0.1,000:00:00
2dfd4009-ba66-4894-9c8a-702a426ebc14,1621014489.670878,all,[140237.42292],None,2019-08-31,0.1,000:00:00
14b761cb-d0ca-49d7-92f6-b3bd818f5907,1621014489.674944,all,[140920.67124],None,2019-09-01,0.1,000:00:00
765d9c41-4646-45ed-ab36-ae026a5da1c7,1621014489.679352,all,[140614.63716],None,2019-09-02,0.1,000:00:00
b3d9e64d-2f6e-4eb1-864c-f905dbd94e06,1621014489.68346,all,[139020.626],None,2019-09-03,0.1,000:00:00
6b47df4f-c733-4848-879c-3cafc20077e0,1621014489.687368,all,[142420.28652],None,2019-09-04,0.1,000:00:00
59c3cbb1-70e0-4922-ab0a-9db55bbc09c1,1621014489.691391,all,[143413.11288],None,2019-09-05,0.1,000:00:00
d65f4f8d-54d4-4751-b933-de45e4b969d1,1621014489.695783,all,[143719.14696],None,2019-09-06,0.1,000:00:00
ebd26155-ee3e-45ad-9414-8e30fe84744c,1621014489.699601,all,[140135.90736],None,2019-09-07,0.1,000:00:00
475ddea8-d606-4bc2-a170-d29cf10cf75b,1621014489.7032,all,[143247.86376],None,2019-09-08,0.1,000:00:00
0d504911-a7a2-4bdc-b59f-1843215198d3,1621014489.706472,all,[141798.64356],None,2019-09-09,0.1,000:00:00
771a140b-d44d-4c75-b900-c582c483c1a7,1621014489.709852,all,[132272.2668],None,2019-09-10,0.1,000:00:00
